feature,coef,fold
POS_MONTHS_BALANCE_COUNT,-0.06178660226856612,2
POS_NAME_CONTRACT_STATUS_<LAMBDA>,0.0410148831492841,2
CREDIT_TO_INCOME,0.007969026966128029,2
ANNUITY_TO_INCOME,0.07422160300767915,2
EMPLOYED_YEARS,-0.0744327537970556,2
NAME_CONTRACT_TYPE_Cash_loans,-0.023773625972763748,2
NAME_CONTRACT_TYPE_Revolving_loans,0.023773625972763748,2
NAME_CONTRACT_TYPE_nan,0.0,2
CODE_GENDER_F,-0.10930795715069128,2
CODE_GENDER_M,0.1095516129033455,2
CODE_GENDER_XNA,-0.028514652224782812,2
CODE_GENDER_nan,0.0,2
FLAG_OWN_CAR_N,0.10561761794044291,2
FLAG_OWN_CAR_Y,-0.10561761794045206,2
FLAG_OWN_CAR_nan,0.0,2
FLAG_OWN_REALTY_N,-0.002373754331387332,2
FLAG_OWN_REALTY_Y,0.0023737543313967244,2
FLAG_OWN_REALTY_nan,0.0,2
NAME_TYPE_SUITE_Children,0.007139456792088127,2
NAME_TYPE_SUITE_Family,0.003921334873327312,2
NAME_TYPE_SUITE_Group_of_people,-0.00035893488043524206,2
NAME_TYPE_SUITE_Other_A,-0.007304706249818802,2
NAME_TYPE_SUITE_Other_B,0.007536515541321935,2
NAME_TYPE_SUITE_Spouse_partner,-0.010131342934490277,2
NAME_TYPE_SUITE_Unaccompanied,0.001241416704952609,2
NAME_TYPE_SUITE_nan,-0.012252394947132482,2
NAME_INCOME_TYPE_Businessman,-0.02963964779373641,2
NAME_INCOME_TYPE_Commercial_associate,0.021255517996893767,2
NAME_INCOME_TYPE_Maternity_leave,0.010628132884946812,2
NAME_INCOME_TYPE_Pensioner,-0.08153447042254736,2
NAME_INCOME_TYPE_State_servant,-0.030738262335496206,2
NAME_INCOME_TYPE_Student,-0.05505329200765717,2
NAME_INCOME_TYPE_Unemployed,0.009896190292934495,2
NAME_INCOME_TYPE_Working,0.06139737288685555,2
NAME_INCOME_TYPE_nan,0.0,2
NAME_EDUCATION_TYPE_Academic_degree,-0.027448627111475606,2
NAME_EDUCATION_TYPE_Higher_education,-0.0779055689711161,2
NAME_EDUCATION_TYPE_Incomplete_higher,-0.015491203845712707,2
NAME_EDUCATION_TYPE_Lower_secondary,0.03224819655171215,2
NAME_EDUCATION_TYPE_Secondary__secondary_special,0.07337882590251228,2
NAME_EDUCATION_TYPE_nan,0.0,2
NAME_FAMILY_STATUS_Civil_marriage,0.028050939105715437,2
NAME_FAMILY_STATUS_Married,-0.04645385967330576,2
